job_index,replicate_index,seed,nll,mse,mae,r2
36,360,509273837,3.1205981150768696,14.151784896850586,2.8269968032836914,0.9496836066246033
36,361,2938054298,3.792013876705344,17.071455001831055,2.8396315574645996,0.9401527047157288
36,362,1681566306,2.8785341582855493,13.558771133422852,2.689203977584839,0.9550896883010864
36,363,3396606505,3.496407216667003,11.751152038574219,2.54038143157959,0.96025151014328
36,364,4205763894,2.9633062078993517,12.742833137512207,2.5574865341186523,0.9557739496231079
36,365,460485471,2.9645358230321235,13.88076114654541,2.7584645748138428,0.9503344893455505
36,366,1407685457,2.917188223032963,13.47128677368164,2.6893863677978516,0.9549481868743896
36,367,4143034610,2.7739797371459316,13.142756462097168,2.8029043674468994,0.9553318619728088
36,368,2926503329,2.8239282110575177,12.476194381713867,2.544605016708374,0.9544768929481506
36,369,3502125658,3.4138792574621255,14.217159271240234,2.637493371963501,0.9519091248512268
